;Purchase;Organisation;Price;Date
1414;«Капитальный ремонт столовой МБОУ «Опытненская СОШ»;Управление жилищно-коммунального хозяйства, промышленности, энергетики, транспорта, связи и архитектуры администрации Усть-Абаканского района Республики Хакасия;975 800.00;24.06.2013
1415;Выполнение работ по ремонту улицы Народной (от улицы Ленина до улицы Энергетиков).;Администрация города Зеи;3 496 974.00;01.07.2013
1416;Содержание общественного кладбища (изготовление и установка 50-ти шт. контейнерных площадок);"""Управление жилищно-коммунального хозяйства, топлива и энергетики администрации города Комсомольска-на-Амуре Хабаровского края""";671 150.00;05.07.2013
1417;Содержание общественного кладбище (содержание дорог);"""Управление жилищно-коммунального хозяйства, топлива и энергетики администрации города Комсомольска-на-Амуре Хабаровского края""";1 611 850.55;05.07.2013
1418;Содержание общественного кладбища (санитарная очистка от мусора территории кладбища);"""Управление жилищно-коммунального хозяйства, топлива и энергетики администрации города Комсомольска-на-Амуре Хабаровского края""";514 695.90;05.07.2013
1419;Выполнение работ по обустройству внутриквартальной территории (парковой зоны по ул. Киевская) в Ленинском районе города Новосибирска.;Департамент энергетики, жилищного и коммунального хозяйства города;1 413 915.10;21.06.2013
1420;Выполнение работ по строительству объекта: «Газоснабжение частного сектора «Правые Чемы» в Советском районе г. Новосибирска. Газопровод высокого давления. ШРП» (II этап), в рамках реализации ведомственной целевой программы «Газификация города Новосибирска» на 2011 – 2015 годы, утвержденной постановлением мэрии города Новосибирска от 24.01.2011 № 393;Департамент энергетики, жилищного и коммунального хозяйства города;13 936 830.00;05.07.2013
1421;Открытый аукцион в электронной форме на право заключить договор на выполнение подрядных работ по ремонту пола в коридоре, полов в кабинетах 3 этажа в здании муниципального бюджетного образовательного учреждения средней общеобразовательной школы №2 п.Усть-Камчатск Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;2 029 462.31;20.06.2013
1422;Открытый аукцион в электронной форме (111-АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту асфальтобетонного покрытия путепровода №2 через железную дорогу по ул.Пролетарской в г.Рославль Смоленской области.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";469 161.00;20.06.2013
1423;Открытый аукцион в электронной форме (109-АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту асфальтобетонного дорожного покрытия дворовой территории жилого дома № 5 12 микрорайона в г.Рославль Смоленской области;"Администрация муниципального образования ""Рославльский район"" Смоленской области";993 644.00;20.06.2013
1424;Открытый аукцион в электронной форме (110-АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту асфальтобетонного дорожного покрытия проезда к дворовой территории и ремонт асфальтобетонного дорожного покрытия дворовой территории жилого дома № 2 по 4-му Красноармейскому переулку в г. Рославль Смоленской области.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";638 397.00;20.06.2013
1425;Выполнение работ по строительству газопровода высокого давления в п. Матвеевка от ГРПШ-4 в сторону города до ГРПШ-3-2-1 в Первомайском районе г. Новосибирска, в рамках реализации ведомственной целевой программы «Газификация города Новосибирска» на 2011 – 2015 годы, утвержденной постановлением мэрии города Новосибирска от 24.01.2011 № 393;Департамент энергетики, жилищного и коммунального хозяйства города;4 517 590.00;04.07.2013
1426;Модернизация насосного оборудования на городских очистных сооружениях;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства и энергетики"" городского округа Красноуральск";1 620 442.08;28.06.2013
1427;Выполнение работ по строительству газопровода высокого давления по ул. Кедровая и ул. Бестужева в Заельцовском районе г. Новосибирска, в рамках реализации ведомственной целевой программы «Газификация города Новосибирска» на 2011 – 2015 годы, утвержденной постановлением мэрии города Новосибирска от 24.01.2011 № 393.;Департамент энергетики, жилищного и коммунального хозяйства города;18 796 080.00;04.07.2013
1428;Поставку комплекса оборудования (видеостена) для ГУ МЧС Дальневосточного региона.;Федеральное государственное бюджетное учреждение науки Институт проблем безопасного развития атомной энергетики Российской академии наук;1 585 667.00;20.06.2013
1429;Замена воздуходувного агрегата на воздушной станции городских очистных сооружениях с установкой частотно-регулируемого привода;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства и энергетики"" городского округа Красноуральск";1 355 923.84;28.06.2013
1430;Открытый аукцион в электронной форме на право заключить муниципальный контракт на выполнение работ по изготовлению технических паспортов, технических планов и постановки на государственный кадастровый учет объектов коммунальной инфраструктуры Усть-Камчатского сельского поселения в целях реализации МЦП «Формирование муниципальной собственности и разработка документов территориального планирования в Усть-Камчатском сельском поселении в 2013 году»;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;635 000.00;20.06.2013
1431;Открытый аукцион в электронной форме на право заключить муниципальный контракт на выполнение работ по проведению технической инвентаризации и изготовление технических паспортов на муниципальное имущество, находящееся в собственности Усть-Камчатского сельского поселения в целях реализации МЦП «Формирование муниципальной собственности и разработка документов территориального планирования в Усть-Камчатском сельском поселении в 2013 году»;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;635 000.00;20.06.2013
1432;Выполнение работ по ремонту тепловых сетей по ул. 40 лет Победы, по ул. Клименко в п. Агинское.;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";1 328 449.22;20.06.2013
1433;Выполнение работ по текущему ремонту помещений здания Министерства связи и телекоммуникаций Республики Дагестан;Министерство связи и телекоммуникаций Республики Дагестан;898 204.12;17.06.2013
1434;Выполнение работ по содержанию дорог по ул. Сельская и Заречная в с. Чечеры и ямочного ремонта асфальтового покрытия дороги по ул. Энергетиков в с. Б-Хомутец на территории сельского поселения Б – Хомутецкий сельсовет Добровского муниципального района Липецкой области;Администрация Добровского муниципального района Липецкой области Российской Федерации;320 543.00;21.06.2013
1435;Выполнение работ по обследованию строительных конструкций многоквартирных домов, расположенных на территории Октябрьского района города Новосибирска.;Департамент энергетики, жилищного и коммунального хозяйства города;826 943.19;17.06.2013
1436;Ремонт дорожного покрытия по ул. Энергетиков (реестровый номер торгов: 524Э-17/13сб);"Бюджетное специализированное учреждение ""Фонд имущества Калужской области""";1 148 703.00;21.06.2013
1437;Открытый аукцион в электронной форме (108-АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту асфальтобетонного дорожного покрытия проезда к дворовой территории и ремонт асфальтобетонного дорожного покрытия дворовой территории жилого дома № 6 по ул.Б.Смоленская в г.Рославль Смоленской области.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";1 162 616.00;17.06.2013
1438;Открытый аукцион в электронной форме (107-АЭФ) на право заключить муниципальный контракт на выполнение работ по ремонту асфальтобетонного дорожного покрытия проезда к дворовой территории и ремонт асфальтобетонного дорожного покрытия дворовой территории жилого дома № 64 по ул.Пушкина в г.Рославль Смоленской области;"Администрация муниципального образования ""Рославльский район"" Смоленской области";1 117 055.00;17.06.2013
1439;Выполнение работ по ремонту котельной АПК в п. Агинское.;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";1 196 790.00;17.06.2013
1440;Выполнение работ по ремонту котельной «Заречная» в п. Агинское.;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";2 164 127.87;17.06.2013
1441;Выполнение работ по очистке пруда на улице Энергетиков в п. Пречистое Ярославской области;Администрация Первомайского муниципального района Ярославской области;388 224.00;20.06.2013
1442;Открытый аукцион в электронной форме (106-АЭФ) на право заключить муниципальный контракт на выполнение работ по устройству и ремонту посадочных площадок в г.Рославль Смоленской области.;"Администрация муниципального образования ""Рославльский район"" Смоленской области";301 997.00;17.06.2013
1443;Шифр: 2013-5.3-16-570-0012 Организация и проведение на базе Дальневосточного федерального университета мероприятий международного сотрудничества Российской Федерации с Республикой Индия, Социалистической Республикой Вьетнам и Китайской Народной Республикой в рамках деятельности двусторонних комитетов, комиссий, подкомиссий и рабочих групп (Российско-Индийская конференция и выставка по сотрудничеству в области энергетики и энергосбережения).;Министерство образования и науки Российской Федерации;3 000 000.00;17.06.2013
1444;на право заключения муниципального контракта на выполнение работ по ремонту светофорного объекта, расположенного на пересечении улицы Российской с проспектом Энергетиков, с заменой ламповых источников света на светодиодные, расположенного на территории муниципального образования «город Шарыпово Красноярского края» в 2013 году;"Муниципальное казенное учреждение ""Служба городского хозяйства""";500 000.00;17.06.2013
1445;Выполнение работ по устройству временной водопропускной трубы МГТ через ручей Барун Куоша по ул. Жабэ п. Агинское при ликвидации аварийной ситуации.;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";3 060 594.84;01.07.2013
1446;Выполнение работ по восстановлению 2-х мостовых переходов через коллекторы Барун Куоша и Дунда Куоша по ул. Юннатская п. Агинское;"Муниципальное учреждение ""Комитет экономического развития и имущественных отношений администрации городского округа ""Поселок Агинское""";2 022 602.59;17.06.2013
1447;Капитальный ремонт оборудования сцены МБУК Дом культуры «Энергетик».;"Администрация городского округа ""Поронайский""";1 138 289.00;21.06.2013
1448;Открытый аукцион в электронной форме на право заключения договора на выполнение подрядных работ по изготовлению и монтажу изделий из ПВХ-профиль в муниципальном бюджетном образовательном учреждении средняя общеобразовательная школа № 6 п. Козыревск Усть –Камчатского муниципального района Камчатского края;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;660 899.12;17.06.2013
1449;Приобретение 1 однокомнатной квартиры общей площадью не менее 33 квадратных метров (далее – квартира) в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Кузоватовский район» в районом посёлке Кузоватово, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;881 406.90;21.06.2013
1450;Приобретение 1 однокомнатной квартиры общей площадью не менее 30 квадратных метров (далее – квартира) в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Кузоватовский район» в районом посёлке Кузоватово, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;801 279.00;21.06.2013
1451;Приобретение 2 однокомнатных квартир общей площадью не менее 26 квадратных метров каждая (далее – квартиры) в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Кузоватовский район» в районом посёлке Кузоватово, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 388 883.60;21.06.2013
1452;Приобретение 2 однокомнатных квартир общей площадью не менее 30 квадратных метров каждая (далее – квартиры) в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Карсунский район» в районом посёлке Карсун, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 602 558.00;21.06.2013
1453;Приобретение 2 однокомнатных квартир общей площадью не менее 33 квадратных метров каждая (далее – квартиры) в многоквартирных домах, расположенных в Ульяновской области на территории муниципального образования «Карсунский район» в районом посёлке Карсун, введённых в эксплуатацию не ранее 01.01.2012 года, для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений;Министерство экономики Ульяновской области;1 762 813.80;21.06.2013
1454;Открытый аукцион в электронной форме на право заключения договора на оказание услуг по обеспечению работоспособности каналов доступа к корпоративной сети передачи данных, сети Интернет и корпоративной телефонной сети по адресу: Ленинградский пр-т, д.5, стр.7;"федеральное государственное бюджетное учреждение ""Российское энергетическое агентство"" Министерства энергетики Российской Федерации";727 500.00;14.06.2013
1455;поставка автоподъемников на шасси с высотой подъема до 17 м в количестве 4 ед. в 2013 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;8 959 910.72;01.07.2013
1456;поставка автоподъемников на шасси с высотой подъема до 14 м в количестве 3 ед. в 2013 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;5 944 997.91;01.07.2013
1457;"выполнение работ по капитальному ремонту электрических сетей и устройств наружного освещения объектов: Клубный пер.; Кожевенная линия; Косая линия; Масляный кан. в 2013 году для государственных нужд Санкт-Петербурга";Комитет по энергетике и инженерному обеспечению;14 873 614.00;01.07.2013
1458;выполнение работ по капитальному ремонту электрических сетей и устройств наружного освещения объекта: Зольная ул. в 2013 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;12 655 833.00;01.07.2013
1459;выполнение работ по капитальному ремонту питающего кабеля в пункте питания: ул. Михайлова, д. 1 в 2013 году для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;1 705 334.00;17.06.2013
1460;Приобретение в муниципальную собственность двадцати шести однокомнатных квартир, расположенных в городе Рязани, посредством долевого участия в строительстве многоквартирного дома, для обеспечения жилыми помещениями детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей;администрация города Рязани;31 702.75;17.06.2013
1461;Открытый аукцион в электронной форме на право заключить муниципальный контракт на выполнение подрядных работ по модернизации внутренних инженерных сетей отопления, холодного и горячего водоснабжения жилого дома по адресу: Камчатский край, Усть-Камчатский район, п. Усть-Камчатск, ул. 60 лет Октября, д. 7, подъезд №3;Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;1 892 523.00;13.06.2013
1462;На право заключения государственного контракта на выполнение работ по разработке профессионального стандарта машиниста котлов в атомной энергетике в рамках реализации распоряжения Правительства Российской Федерации от 29.11.2012 № 2204-р;Министерство труда и социальной защиты Российской Федерации;600 000.00;26.07.2013
1463;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений, на территории муниципального образования «Новоспасский район» Ульяновской области в рабочем посёлке Новоспасское (доля Участника долевого строительства – 2 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;1 762 813.80;25.07.2013
1464;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений, на территории муниципального образования «Новоспасский район» Ульяновской области в рабочем посёлке Новоспасское (доля Участника долевого строительства – 2 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;1 762 813.80;25.07.2013
1465;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений, на территории муниципального образования «Новоспасский район» Ульяновской области в рабочем посёлке Новоспасское (доля Участника долевого строительства – 2 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;1 762 813.80;25.07.2013
1466;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений, на территории муниципального образования «Новоспасский район» Ульяновской области в рабочем посёлке Новоспасское (доля Участника долевого строительства – 2 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;1 762 813.80;25.07.2013
1467;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений, на территории муниципального образования «Новоспасский район» Ульяновской области в рабочем посёлке Новоспасское (доля Участника долевого строительства – 2 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;1 762 813.80;25.07.2013
1468;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений, на территории муниципального образования «город Димитровград» Ульяновской области (доля Участника долевого строительства – 3 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;2 644 220.70;25.07.2013
1469;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений, на территории муниципального образования «город Димитровград» Ульяновской области (доля Участника долевого строительства – 3 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;2 644 220.70;25.07.2013
1470;выполнение работ по строительству наружного освещения объекта: Микрорайон (пр. Пятилеток - ул. Коллонтай - Искровский пр. - ул. Подвойского - пр. Большевиков - ул. Антонова – Овсеенко - Искровский пр. - ул. Подвойского - ул. Белышева - ул. Коллонтай - ул. Бадаева - ул. Ворошилова) 3 этап - Микрорайон ( пр. Пятилеток - ул. Коллонтай - ул. Бадаева - ул. Ворошилова) в 2013-2014 годах для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;43 257 933.00;05.08.2013
1471;Открытый аукцион в электронной форме на право заключить муниципальный контракт на выполнение подрядных работ по ремонту асфальтобетонного покрытия в п. Усть-Камчатск Камчатского края (2);Управление жилищно-коммунального хозяйства, транспорта и энергетики администрации Усть-Камчатского муниципального района;17 630 260.00;02.08.2013
1472;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений, на территории муниципального образования «город Димитровград» Ульяновской области (доля Участника долевого строительства – 3 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;2 644 220.70;25.07.2013
1473;АЭР-38/13 Выполнение работ по ремонту насосных агрегатов для теплоэнергетической службы управления главного энергетика;"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский государственный политехнический университет""";462 819.46;22.07.2013
1474;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений, на территории муниципального образования «город Димитровград» Ульяновской области (доля Участника долевого строительства – 3 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;2 644 220.70;25.07.2013
1475;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей по договорам найма специализированных жилых помещений, на территории муниципального образования «город Димитровград» Ульяновской области (доля Участника долевого строительства – 3 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;2 644 220.70;25.07.2013
1476;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений, на территории муниципального образования «Базарносызганский район» Ульяновской области в рабочем посёлке Базарный Сызган (доля Участника долевого строительства – 2 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;1 762 813.80;25.07.2013
1477;выполнение работ по капитальному ремонту установок наружного освещения Северного проспекта в 2013-2014 годах для государственных нужд Санкт-Петербурга;Комитет по энергетике и инженерному обеспечению;48 997 429.00;05.08.2013
1478;Участие в долевом строительстве многоквартирного дома в целях приобретения однокомнатных квартир общей площадью не менее 33 кв.м. каждая для предоставления детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, по договорам найма специализированных жилых помещений, на территории муниципального образования «Базарносызганский район» Ульяновской области в рабочем посёлке Базарный Сызган (доля Участника долевого строительства – 2 однокомнатные квартиры);Министерство экономики и планирования Ульяновской области;1 762 813.80;25.07.2013
